tick,node_id,x,y,energy,role,cluster_id
34,10,100.0,100.0,166,isolated,10
35,1,10.0,10.0,395,leader,1
35,2,12.0,11.0,265,member,1
35,3,8.0,9.0,165,member,1
35,4,10.0,15.0,65,member,1
35,5,14.0,8.0,365,member,1
35,6,50.0,50.0,495,leader,6
35,7,48.0,52.0,215,member,6
35,8,53.0,49.0,115,member,6
35,9,45.0,45.0,265,member,6
35,10,100.0,100.0,165,isolated,10
36,1,10.0,10.0,392,leader,1
36,2,12.0,11.0,264,member,1
36,3,8.0,9.0,164,member,1
36,4,10.0,15.0,64,member,1
36,5,14.0,8.0,364,member,1
36,6,50.0,50.0,492,leader,6
36,7,48.0,52.0,214,member,6
36,8,53.0,49.0,114,member,6
36,9,45.0,45.0,264,member,6
36,10,100.0,100.0,164,isolated,10
37,1,10.0,10.0,389,leader,1
37,2,12.0,11.0,263,member,1
37,3,8.0,9.0,163,member,1
37,4,10.0,15.0,63,member,1
37,5,14.0,8.0,363,member,1
37,6,50.0,50.0,489,leader,6
37,7,48.0,52.0,213,member,6
37,8,53.0,49.0,113,member,6
37,9,45.0,45.0,263,member,6
37,10,100.0,100.0,163,isolated,10
38,1,10.0,10.0,386,leader,1
38,2,12.0,11.0,262,member,1
38,3,8.0,9.0,162,member,1
38,4,10.0,15.0,62,member,1
38,5,14.0,8.0,362,member,1
38,6,50.0,50.0,486,leader,6
38,7,48.0,52.0,212,member,6
38,8,53.0,49.0,112,member,6
38,9,45.0,45.0,262,member,6
38,10,100.0,100.0,162,isolated,10
39,1,10.0,10.0,383,leader,1
39,2,12.0,11.0,261,member,1
39,3,8.0,9.0,161,member,1
39,4,10.0,15.0,61,member,1
39,5,14.0,8.0,361,member,1
39,6,50.0,50.0,483,leader,6
39,7,48.0,52.0,211,member,6
39,8,53.0,49.0,111,member,6
39,9,45.0,45.0,261,member,6
39,10,100.0,100.0,161,isolated,10
40,1,10.0,10.0,380,leader,1
40,2,12.0,11.0,260,member,1
40,3,8.0,9.0,160,member,1
40,4,10.0,15.0,60,member,1
40,5,14.0,8.0,360,member,1
40,6,50.0,50.0,480,leader,6
40,7,48.0,52.0,210,member,6
40,8,53.0,49.0,110,member,6
40,9,45.0,45.0,260,member,6
40,10,100.0,100.0,160,isolated,10
41,1,10.0,10.0,377,leader,1
41,2,12.0,11.0,259,member,1
41,3,8.0,9.0,159,member,1
41,4,10.0,15.0,59,member,1
41,5,14.0,8.0,359,member,1
41,6,50.0,50.0,477,leader,6
41,7,48.0,52.0,209,member,6
41,8,53.0,49.0,109,member,6
41,9,45.0,45.0,259,member,6
41,10,100.0,100.0,159,isolated,10
42,1,10.0,10.0,374,leader,1
42,2,12.0,11.0,258,member,1
42,3,8.0,9.0,158,member,1
42,4,10.0,15.0,58,member,1
42,5,14.0,8.0,358,member,1
42,6,50.0,50.0,474,leader,6
42,7,48.0,52.0,208,member,6
42,8,53.0,49.0,108,member,6
42,9,45.0,45.0,258,member,6
42,10,100.0,100.0,158,isolated,10
43,1,10.0,10.0,371,leader,1
43,2,12.0,11.0,257,member,1
43,3,8.0,9.0,157,member,1
43,4,10.0,15.0,57,member,1
43,5,14.0,8.0,357,member,1
43,6,50.0,50.0,471,leader,6
43,7,48.0,52.0,207,member,6
43,8,53.0,49.0,107,member,6
43,9,45.0,45.0,257,member,6
43,10,100.0,100.0,157,isolated,10
44,1,10.0,10.0,368,leader,1
44,2,12.0,11.0,256,member,1
44,3,8.0,9.0,156,member,1
44,4,10.0,15.0,56,member,1
44,5,14.0,8.0,356,member,1
44,6,50.0,50.0,468,leader,6
44,7,48.0,52.0,206,member,6
44,8,53.0,49.0,106,member,6
44,9,45.0,45.0,256,member,6
44,10,100.0,100.0,156,isolated,10
45,1,10.0,10.0,365,leader,1
45,2,12.0,11.0,255,member,1
45,3,8.0,9.0,155,member,1
45,4,10.0,15.0,55,member,1
45,5,14.0,8.0,355,member,1
45,6,50.0,50.0,465,leader,6
45,7,48.0,52.0,205,member,6
45,8,53.0,49.0,105,member,6
45,9,45.0,45.0,255,member,6
45,10,100.0,100.0,155,isolated,10
46,1,10.0,10.0,362,leader,1
46,2,12.0,11.0,254,member,1
46,3,8.0,9.0,154,member,1
46,4,10.0,15.0,54,member,1
46,5,14.0,8.0,354,member,1
46,6,50.0,50.0,462,leader,6
46,7,48.0,52.0,204,member,6
46,8,53.0,49.0,104,member,6
46,9,45.0,45.0,254,member,6
46,10,100.0,100.0,154,isolated,10
47,1,10.0,10.0,359,leader,1
47,2,12.0,11.0,253,member,1
47,3,8.0,9.0,153,member,1
47,4,10.0,15.0,53,member,1
47,5,14.0,8.0,353,member,1
47,6,50.0,50.0,459,leader,6
47,7,48.0,52.0,203,member,6
47,8,53.0,49.0,103,member,6
47,9,45.0,45.0,253,member,6
47,10,100.0,100.0,153,isolated,10
48,1,10.0,10.0,356,leader,1
48,2,12.0,11.0,252,member,1
